,HPO ID,Phenotype name,No. occurrences,Earliness (lower = earlier),Example sentence
1,HP:0012825,Mild,16,235,congenital cmv infection td td y td td y td td n td td y td td mild td td attention deficit echolalia and tantrums 
2,HP:0011968,Feeding difficulties,13,226, div div div div div figcaption figure div div class floatdisplay div class inline table id tbl1 tabindex 0 div class inline table head div table border 0 cellpadding 0 cellspacing 0 class scrollable bordered width 100 thead tr th class rowsep strong case id strong th th class rowsep strong inheritance strong th th class rowsep strong gender strong th th class rowsep strong age years strong th th class rowsep strong prenatal and neonatal history strong th th class rowsep strong pn growth retardation strong th th class rowsep strong microcephaly strong th th class rowsep strong motor delay strong th th class rowsep strong speech delay strong th th class rowsep strong dd id strong th th class rowsep strong behavioral psychiatric and neurological features strong th th class rowsep strong malformations and physical anomalies strong th th class rowsep strong additional comments strong th tr thead tbody tr td class rowsep colspan 13 strong discovery cohort strong td tr tr td i td td dn td td m td td 4 td td sga and feeding difficulties td td y td td n td td y td td y td td mod td td possible absence and focal seizures td td vsd with tortuous aortic arch horseshoe kidney cryptorchidism bl inguinal hernia deep sacral dimple and bl single palmar creases td td early onset hypothyroidism limitation of joint mobility and cutis marmorata td tr tr td ii td td dn td td m td td 7 td td sga and feeding difficulties td td y td td n td td y td td y td td mild td td sociable empathetic hand flapping tendency and attention deficit td td rt pelvic kidney rt inguinal hernia and scoliosis 
3,HP:0001290,Generalized hypotonia,10,285, td td frequent otisis media gh deficiency and limitation of joint mobility td tr tr td vii td td dn td td f td td 12 td td sga hypotonia and feeding difficulties td td y td td y td td y td td y td td mod td td emotional problems and hypotonia td td tricuspid valve dysplasia 2 3 4 fingers and 2 3 toes syndactyly td td bl severe snhl and dorsal hypertrichosis td tr tr td viii td td dn td td m td td 7 td td sga hypotonia and feeding difficulties td td y td td n td td y td td y td td sev td td thin cc septum pellucidum cyst megacisterna magna mild ventricular dilation and subependymal heterotopia td td bl clap vsd lt extra nipple hypospadias ul cryptorchidism and sacral dimple td td cutis marmorata 
4,HP:0001319,Neonatal hypotonia,10,285, td td frequent otisis media gh deficiency and limitation of joint mobility td tr tr td vii td td dn td td f td td 12 td td sga hypotonia and feeding difficulties td td y td td y td td y td td y td td mod td td emotional problems and hypotonia td td tricuspid valve dysplasia 2 3 4 fingers and 2 3 toes syndactyly td td bl severe snhl and dorsal hypertrichosis td tr tr td viii td td dn td td m td td 7 td td sga hypotonia and feeding difficulties td td y td td n td td y td td y td td sev td td thin cc septum pellucidum cyst megacisterna magna mild ventricular dilation and subependymal heterotopia td td bl clap vsd lt extra nipple hypospadias ul cryptorchidism and sacral dimple td td cutis marmorata 
5,HP:0100790,Hernia,8,230, td td thoracic kyphosis and bl inguinal hernia td td delayed puberty and recurrent sinusitis td tr tr td xviia td td mat td td f td td 2 td td hypotonia and feeding difficulties 
6,HP:0001249,Intellectual disability,7,11, div class dropblock reference citations sup sup div class dropblock holder data db target of bib1 d1601794e1760 div div they range from isolated internal organ malformations and intellectual disability to complex syndromic presentations 
7,HP:0000154,Wide mouth,7,30,they had wavy interrupted eyebrows dense eyelashes a wide nose a wide mouth and a prominent chin 
8,HP:0007018,Attention deficit hyperactivity disorder,7,238,congenital cmv infection td td y td td y td td n td td y td td mild td td attention deficit echolalia and tantrums 
9,HP:0001631,Atrial septal defect,7,338,5 td tr tr td xxi td td pat td td m td td 4 td td feeding difficulties td td n td td y td td y td td y td td mod td td asd and hypotonia td td n td td hypermobile joints 
10,HP:0002650,Scoliosis,6,240,published shimojima et al 2016 div class dropblock reference citations sup sup div class dropblock holder centered data db target of bib14 d1601794e569 div div 3 td tr tr td xii td td u td td f td td 21 td td n td td n td td n td td y td td y td td mild td td sociable personality attention deficit trichotillomania and seizures in early childhood td td vsd scoliosis clinodactyly short thumbs camptodactyly fetal finger pads tapering finger and 2 3 toe syndactyly td td asthma eczema reduced elbow and shoulder extension bl keratoconus and early lt posterior subcapsular cataract td tr tr td xiii td td dn td td f td td 2 td td sga td td y td td y td td y td td y td td mild td td n td td supra valvular aortic stenosis td td n td tr tr td xiv td td dn td td m td td 20 td td hypotonia and feeding difficulties td td u td td u td td y td td y td td mod td td empathetic personality and asd 
