,HPO ID,Phenotype name,No. occurrences,Earliness (lower = earlier),Example sentence
1,HP:0001249,Intellectual disability,10,9,we describe heterozygous em actb em deletions and nonsense and frameshift mutations in 33 individuals with developmental delay apparent intellectual disability increased frequency of internal organ malformations including those of the heart and the renal tract growth retardation and a recognizable facial gestalt interrupted wavy eyebrows dense eyelashes wide nose wide mouth and a prominent chin that is distinct from characteristics of individuals with brws 
2,HP:0000118,Phenotypic abnormality,8,21,we describe heterozygous em actb em deletions and nonsense and frameshift mutations in 33 individuals with developmental delay apparent intellectual disability increased frequency of internal organ malformations including those of the heart and the renal tract growth retardation and a recognizable facial gestalt interrupted wavy eyebrows dense eyelashes wide nose wide mouth and a prominent chin that is distinct from characteristics of individuals with brws 
3,HP:0000154,Wide mouth,8,28,this could be related to actins role in cell growth and proliferation which we also observed in the affected individuals cells div class dropblock reference citations div class dropblock holder data db target of bib17 d7663730e2038 div div div div class section paragraph the individuals described here have overlapping dysmorphism with interrupted wavy eyebrows dense eyelashes hypertelorism a wide nose a wide mouth and a prominent chin 
4,HP:0001627,Abnormal heart morphology,6,21,we describe heterozygous em actb em deletions and nonsense and frameshift mutations in 33 individuals with developmental delay apparent intellectual disability increased frequency of internal organ malformations including those of the heart and the renal tract growth retardation and a recognizable facial gestalt interrupted wavy eyebrows dense eyelashes wide nose wide mouth and a prominent chin that is distinct from characteristics of individuals with brws 
5,HP:0000445,Wide nose,6,27,this could be related to actins role in cell growth and proliferation which we also observed in the affected individuals cells div class dropblock reference citations div class dropblock holder data db target of bib17 d7663730e2038 div div div div class section paragraph the individuals described here have overlapping dysmorphism with interrupted wavy eyebrows dense eyelashes hypertelorism a wide nose a wide mouth and a prominent chin 
6,HP:0000303,Mandibular prognathia,6,30,this could be related to actins role in cell growth and proliferation which we also observed in the affected individuals cells div class dropblock reference citations div class dropblock holder data db target of bib17 d7663730e2038 div div div div class section paragraph the individuals described here have overlapping dysmorphism with interrupted wavy eyebrows dense eyelashes hypertelorism a wide nose a wide mouth and a prominent chin 
7,HP:0001263,Global developmental delay,4,19,collectively in this cohort of 33 individuals from 25 unrelated families we observed a high frequency of developmental delay apparent intellectual disability internal organ malformations affecting heart kidneys spine and palate among others growth retardation and facial dysmorphism interrupted eyebrows dense eyelashes wide nose wide mouth and a prominent chin a 
8,HP:0001510,Growth delay,4,23,collectively in this cohort of 33 individuals from 25 unrelated families we observed a high frequency of developmental delay apparent intellectual disability internal organ malformations affecting heart kidneys spine and palate among others growth retardation and facial dysmorphism interrupted eyebrows dense eyelashes wide nose wide mouth and a prominent chin a 
9,HP:0001999,Abnormal facial shape,4,127,this is distinct from the typical facial dysmorphism of brws although we did notice some overlapping features such as a wide mouth and hypertelorism inboth groups 
10,HP:0012828,Severe,4,164,their migration was also severely impaired in comparison to that of control fibroblasts c 
11,HP:0001332,Dystonia,4,227,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
12,HP:0000077,Abnormality of the kidney,4,237,major renal anomalies were detected in 7 out of 19 36 8 individuals whose renal ultrasound examination or post mortem reports were available 
13,HP:0000110,Renal dysplasia,4,237,major renal anomalies were detected in 7 out of 19 36 8 individuals whose renal ultrasound examination or post mortem reports were available 
14,HP:0000316,Hypertelorism,4,275,this is distinct from the typical facial dysmorphism of brws although we did notice some overlapping features such as a wide mouth and hypertelorism inboth groups 
15,HP:0002539,Cortical dysplasia,2,10,in humans postulated gain of function missense mutations cause baraitser winter syndrome brws characterized by intellectual disability cortical malformations coloboma sensorineural deafness and typical facial features 
16,HP:0000589,Coloboma,2,11,in humans postulated gain of function missense mutations cause baraitser winter syndrome brws characterized by intellectual disability cortical malformations coloboma sensorineural deafness and typical facial features 
17,HP:0000365,Hearing impairment,2,12,in humans postulated gain of function missense mutations cause baraitser winter syndrome brws characterized by intellectual disability cortical malformations coloboma sensorineural deafness and typical facial features 
18,HP:0000407,Sensorineural hearing impairment,2,12,in humans postulated gain of function missense mutations cause baraitser winter syndrome brws characterized by intellectual disability cortical malformations coloboma sensorineural deafness and typical facial features 
19,HP:0008527,Congenital sensorineural hearing impairment,2,12,in humans postulated gain of function missense mutations cause baraitser winter syndrome brws characterized by intellectual disability cortical malformations coloboma sensorineural deafness and typical facial features 
20,HP:0000717,Autism,2,203,some were reported to have autism spectrum or attention deficit hyperactivity disorders 
21,HP:0000729,Autistic behavior,2,203,some were reported to have autism spectrum or attention deficit hyperactivity disorders 
22,HP:0000752,Hyperactivity,2,203,some were reported to have autism spectrum or attention deficit hyperactivity disorders 
23,HP:0007018,Attention deficit hyperactivity disorder,2,203,some were reported to have autism spectrum or attention deficit hyperactivity disorders 
24,HP:0002281,obsolete Gray matter heterotopias,2,212,actin filaments are a major structural component of synapses and are critical for synaptic plasticity which directly influences neurodevelopment cognitive performance and social behavior div class dropblock reference citations div class dropblock holder data db target of bib23 d7663730e2005 div div div class dropblock reference citations div class dropblock holder data db target of bib24 d7663730e2005 div div this could explain the developmental and behavioral phenotype of affected individuals div div class section paragraph among ten individuals who were investigated with brain magnetic resonance imaging eight 80 were detected to have some abnormality including gray matter heterotopias in two individuals 
