1|Smith RJH, Shearer AE, Hildebrand MS andVan Camp G: Deafness and hereditary hearing lossoverviewGeneReviews. Pagon RA, Adam MP, Ardinger HH, et al:University of Washington Seattle: 1993–2016
2|Zhu M, Yang T, Wei S, DeWan AT, Morell RJ,Elfenbein JL, Fisher RA, Leal SM, Smith RJ and Friderici KH:Mutations in the gamma-actin gene (ACTG1) are associated withdominant progressive deafness (DFNA20/26). Am J Hum Genet.73:1082–1091. 2003.ViewArticle:Google Scholar:PubMed/NCBI
3|van Wijk E, Krieger E, Kemperman MH, DeLeenheer EM, Huygen PL, Cremers CW, Cremers FP and Kremer H: Amutation in the gamma actin 1 (ACTG1) gene causes autosomaldominant hearing loss (DFNA20/26). J Med Genet. 40:879–884. 2003.View Article:Google Scholar:PubMed/NCBI
4|Morín M, Bryan KE, Mayo-Merino F, GoodyearR, Mencía A, Modamio-Høybjør S, del Castillo I, Cabalka JM,Richardson G, Moreno F, et al: In vivo and in vitro effects of twonovel gamma-actin (ACTG1) mutations that cause DFNA20/26 hearingimpairment. Hum Mol Genet. 18:3075–3089. 2009.View Article:Google Scholar:PubMed/NCBI
5|Yuan Y, Gao X, Huang B, Lu J, Wang G, LinX, Qu Y and Dai P: Phenotypic Heterogeneity in a DFNA20/26 familysegregating a novel ACTG1 mutation. BMC Genet. 17:332016.View Article:Google Scholar:PubMed/NCBI
6|Bryan KE, Wen KK, Zhu M, Rendtorff ND,Feldkamp M, Tranebjaerg L, Friderici KH and Rubenstein PA: Effectsof human deafness gamma-actin mutations (DFNA20/26) on actinfunction. J Biol Chem. 281:20129–20139. 2006.View Article:Google Scholar:PubMed/NCBI
7|Miyagawa M, Nishio SY, Ichinose A, IwasakiS, Murata T, Kitajiri S and Usami S: Mutational spectrum andclinical features of patients with ACTG1 mutations identified bymassively parallel DNA sequencing. Ann Otol Rhinol Laryngol. 124Suppl 1:84S–93S. 2015.View Article:Google Scholar:PubMed/NCBI
8|Liu P, Li H, Ren X, Mao H, Zhu Q, Zhu Z,Yang R, Yuan W, Liu J, Wang Q and Liu M: Novel ACTG1 mutationcausing autosomal dominant non-syndromic hearing impairment in achinese family. J Genet Genomics. 35:553–558. 2008.View Article:Google Scholar:PubMed/NCBI
9|Baek JI, Oh SK, Kim DB, Choi SY, Kim UK,Lee KY and Lee SH: Targeted massive parallel sequencing: Theeffective detection of novel causative mutations associated withhearing loss in small families. Orphanet J Rare Dis. 7:602012.View Article:Google Scholar:PubMed/NCBI
10|Mutai H, Suzuki N, Shimizu A, Torii C,Namba K, Morimoto N, Kudoh J, Kaga K, Kosaki K and Matsunaga T:Diverse spectrum of rare deafness genes underlies early-childhoodhearing loss in Japanese patients: A cross-sectional, multi-centernext-generation sequencing study. Orphanet J Rare Dis. 8:1722013.View Article:Google Scholar:PubMed/NCBI
11|Miyagawa M, Nishio SY, Ikeda T, FukushimaK and Usami S: Massively parallel DNA sequencing successfullyidentifies new causative mutations in deafness genes in patientswith cochlear implantation and EAS. PLoS One. 8:e757932013.View Article:Google Scholar:PubMed/NCBI
12|Park G, Gim J, Kim AR, Han KH, Kim HS, OhSH, Park T, Park WY and Choi BY: Multiphasic analysis of wholeexome sequencing data identifies a novel mutation of ACTG1 in anonsyndromic hearing loss family. BMC Genomics. 14:1912013.View Article:Google Scholar:PubMed/NCBI
13|Vona B, Müller T, Nanda I, Neuner C,Hofrichter MA, Schröder J, Bartsch O, Läßig A, Keilmann A, SchravenS, et al: Targeted next-generation sequencing of deafness genes inhearing-impaired individuals uncovers informative mutations. GenetMed. 16:945–953. 2014.View Article:Google Scholar:PubMed/NCBI
14|Verloes A, Drunat S, Pilz D and Di DonatoN: Baraitser-Winter cerebrofrontofacial syndromeGeneReviews. PagonRA, Adam MP, Ardinger HH, et al: University of Washington Seattle:1993–2016
15|Rendtorff ND, Zhu M, Fagerheim T, AntalTL, Jones M, Teslovich TM, Gillanders EM, Barmada M, Teig E, TrentJM, et al: A novel missense mutation in ACTG1 causes dominantdeafness in a Norwegian DFNA20/26 family, but ACTG1 mutations arenot frequent among families with hereditary hearing impairment. EurJ Hum Genet. 14:1097–1105. 2006.View Article:Google Scholar:PubMed/NCBI
16|Di Donato N, Kuechler A, Velgano S,Heinritz W, Bodurtha J, Merchant SR, Breningstall G, Ladda R, SellS, Altmüller J, et al: Update on the ACTG1-associatedBaraitser-Winter cerebrofrontofacial syndrome. Am J Med Genet A.170:2644–2651. 2016.View Article:Google Scholar:PubMed/NCBI
17|Rivière JB, van Bon BW, Hoischen A,Kholmanskikh SS, O'Roak BJ, Gilissen C, Gijsen S, Sullivan CT,Christian SL, Abdul-Rahman OA, et al: De novo mutations in theactin genes ACTB and ACTG1 cause Baraitser-Winter syndrome. NatGenet. 44:440–444. 2012.ViewArticle:Google Scholar:PubMed/NCBI
18|Verloes A, Di Donato N, Masliah-PlanchonJ, Jongmans M, Abdul-Raman OA, Albrecht B, Allanson J, Brunner H,Bertola D, Chassaing N, David A, et al: Baraitser-Wintercerebrofrontofacial syndrome: Delineation of the spectrum in 42cases. Eur J Hum Genet. 23:292–301. 2015.View Article:Google Scholar:PubMed/NCBI
19|Poirier K, Martinovic J, Laquerrière A,Cavallin M, Fallet-Bianco C, Desguerre I, Valence S,Grande-Goburghun J, Francannet C, Deleuze JF, et al: Rare ACTG1variants in fetal microlissencephaly. Eur J Med Genet. 58:416–418.2015.View Article:Google Scholar:PubMed/NCBI
20|Human Gene Mutation Database Professional.version 2017.1.http://www.hgmd.cf.ac.uk
21|Richards S, Aziz N, Bale S, Bick D, Das S,Gastier-Foster J, Grody WW, Hegde M, Lyon E, Spector E, et al:Standards and guidelines for the interpretation of sequencevariants: A joint consensus recommendation of the American collegeof medical genetics and genomics and the association for molecularpathology. Genet Med. 17:405–424. 2015.View Article:Google Scholar:PubMed/NCBI
