,HPO ID,Phenotype name,No. occurrences,Earliness (lower = earlier),Example sentence
1,HP:0001399,Hepatic failure,14,21,recurrent acute liver failure due to nbas deficiency phenotypic spectrum disease mechanisms and therapeutic conceptsj inherit 
2,HP:0001510,Growth delay,12,26,significant growth impairment 
3,HP:0001427,Mitochondrial inheritance,10,18,prokischthe mitochondrial proteome database mitop2methods enzymol 457 2009 pp 
4,HP:0001511,Intrauterine growth retardation,10,26,p val370gly asn992asp prenatal iugr yes 6 2 moderate intellectual and motor disability muscular hypotoniarecurrent liver crises triggered by infections infantile liver failure neonatal onset steatosis fibrosis cholestasis peculiar facial distribution of subcutaneous fat chubby cheeks feeding through peg zinc deficiency 6 1mol l 
5,HP:0001396,Cholestasis,10,70,p val370gly asn992asp prenatal iugr yes 6 2 moderate intellectual and motor disability muscular hypotoniarecurrent liver crises triggered by infections infantile liver failure neonatal onset steatosis fibrosis cholestasis peculiar facial distribution of subcutaneous fat chubby cheeks feeding through peg zinc deficiency 6 1mol l 
6,HP:0012828,Severe,8,27,downregulation of iars causes high lethality with surviving embryos exhibiting a severe and consistent brain phenotype and a shortening of the body axis reminiscent of the human phenotype br br mutations in iars recently have been identified as underlying weak calf syndrome in japanese black cattle 
7,HP:0001397,Hepatic steatosis,8,29,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
8,HP:0006554,Acute hepatic failure,6,21,recurrent acute liver failure due to nbas deficiency phenotypic spectrum disease mechanisms and therapeutic conceptsj inherit 
9,HP:0001392,Abnormality of the liver,6,24,could be explained by chronic liver disease at least in individuals aut and jpn because chronic liver disease is known to be associated with zinc deficiency br in recent years whole exome sequencing studies haverevealed various causes of infantile liver failure with partly specific clinical phenotypes including mutations in lars nbas mim br scyl1 mim and now iars 
10,HP:0000252,Microcephaly,6,91,interestingly deficiencies of lars and mars also are known to cause hepatopathy an important role for iars in zebrafish brain development is consonant with the abnormalities of brain function in the subjects of this study br dars mim whereas microcephaly is reminiscent of the phenotype seen in individuals with mutations in qars mim 
11,HP:0011451,Congenital microcephaly,6,91,interestingly deficiencies of lars and mars also are known to cause hepatopathy an important role for iars in zebrafish brain development is consonant with the abnormalities of brain function in the subjects of this study br dars mim whereas microcephaly is reminiscent of the phenotype seen in individuals with mutations in qars mim 
12,HP:0009830,Peripheral neuropathy,4,10, br main text h2 br and neuropathy distal hereditary motor type va mim caused by mutations in gars mim encoding glycyl trna synthetase were reported as the first ars associated human disease phenotypes 
13,HP:0003577,Congenital onset,4,26,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
14,HP:0001249,Intellectual disability,4,30,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
15,HP:0000819,Diabetes mellitus,4,34,p arg254 pro437leu prenatal iugr yes 6 2 moderate intellectual disability iq 50 motor function normalelevated alat and asat neonatal onset steatosis fibrosis sensoneurinal hearing loss ao 5 years diabetes mellitus ao 16 years epilepsy zinc deficiency 7 5mol l 
