end|hp_id|index|names|score|start
38.0|HP:0001510|0.0|['Growth delay']|1|19.0
57.0|HP:0001511|0.0|['Intrauterine growth retardation']|1|38.0
76.0|HP:0003577|0.0|['Congenital onset']|1|57.0
95.0|HP:0012828|0.0|['Severe']|1|76.0
46.0|HP:0001249|1.0|['Intellectual disability']|1|23.0
36.666666666666664|HP:0001252|2.0|['Muscular hypotonia']|1|18.333333333333332
55.0|HP:0001290|2.0|['Generalized hypotonia']|1|36.666666666666664
73.33333333333333|HP:0001319|2.0|['Neonatal hypotonia']|1|55.0
18.0|HP:0001397|3.0|['Hepatic steatosis']|1|9.0
118.0|HP:0001399|4.0|['Hepatic failure']|1|59.0
156.0|HP:0001427|5.0|['Mitochondrial inheritance']|1|78.0
20.0|HP:0009830|6.0|['Peripheral neuropathy']|1|10.0
150.0|HP:0001427|7.0|['Mitochondrial inheritance']|1|75.0
40.666666666666664|HP:0001510|8.0|['Growth delay']|1|20.333333333333332
61.0|HP:0001511|8.0|['Intrauterine growth retardation']|1|40.666666666666664
81.33333333333333|HP:0003577|8.0|['Congenital onset']|1|61.0
23.333333333333332|HP:0001324|9.0|['Muscle weakness']|1|11.666666666666666
35.0|HP:0012828|9.0|['Severe']|1|23.333333333333332
46.666666666666664|HP:0020037|9.0|['Astasia']|1|35.0
66.0|HP:0001397|10.0|['Hepatic steatosis']|1|33.0
118.66666666666667|HP:0001510|11.0|['Growth delay']|1|59.333333333333336
178.0|HP:0001511|11.0|['Intrauterine growth retardation']|1|118.66666666666667
237.33333333333334|HP:0003577|11.0|['Congenital onset']|1|178.0
54.0|HP:0001249|12.0|['Intellectual disability']|1|27.0
14.666666666666666|HP:0001252|13.0|['Muscular hypotonia']|1|7.333333333333333
22.0|HP:0001290|13.0|['Generalized hypotonia']|1|14.666666666666666
29.333333333333332|HP:0001319|13.0|['Neonatal hypotonia']|1|22.0
45.0|HP:0000819|14.0|['Diabetes mellitus']|1|22.5
67.5|HP:0001397|14.0|['Hepatic steatosis']|1|45.0
