end|hp_id|index|score|start
164.0|HP:0001511|0.0|1|126.0
189.0|HP:0001249|0.0|1|166.0
209.0|HP:0001252|0.0|1|191.0
30.0|HP:0009830|1.0|1|20.0
178.0|HP:0006554|2.0|1|159.0
256.0|HP:0001392|2.0|1|243.0
47.0|HP:0032320|3.0|1|39.0
96.0|HP:0001511|3.0|1|63.0
120.0|HP:0001324|3.0|1|105.0
132.0|HP:0001251|3.0|1|126.0
345.0|HP:0001511|3.0|1|312.0
376.0|HP:0001249|3.0|1|353.0
402.0|HP:0001252|3.0|1|384.0
453.0|HP:0001397|3.0|1|444.0
486.0|HP:0000819|3.0|1|469.0
110.0|HP:0001510|6.0|1|92.0
112.0|HP:0010864|7.0|1|82.0
143.0|HP:0001257|7.0|1|136.0
161.0|HP:0100022|7.0|1|144.0
191.0|HP:0001252|7.0|1|173.0
241.0|HP:0032320|7.0|1|233.0
321.0|HP:0100633|7.0|1|310.0
100.0|HP:0002342|8.0|1|68.0
180.0|HP:0001397|8.0|1|171.0
217.0|HP:0000365|8.0|1|205.0
249.0|HP:0000819|8.0|1|232.0
273.0|HP:0001250|8.0|1|265.0
207.0|HP:0001399|9.0|1|194.0
234.0|HP:0001397|9.0|1|225.0
450.0|HP:0001511|9.0|1|446.0
52.0|HP:0004325|11.0|1|41.0
75.0|HP:0032320|17.0|1|67.0
92.0|HP:0002595|18.0|1|87.0
20.0|HP:0032320|26.0|1|12.0
79.0|HP:0032320|44.0|1|70.0
211.0|HP:0001511|44.0|1|173.0
236.0|HP:0001249|44.0|1|213.0
256.0|HP:0001252|44.0|1|238.0
113.0|HP:0001257|46.0|1|103.0
171.0|HP:0000252|46.0|1|159.0
239.0|HP:0002342|46.0|1|207.0
54.0|HP:0001249|47.0|1|31.0
226.0|HP:0032320|47.0|1|218.0
253.0|HP:0001249|47.0|1|230.0
84.0|HP:0032316|48.0|1|68.0
112.0|HP:0001249|48.0|1|89.0
117.0|HP:0001399|49.0|1|104.0
188.0|HP:0001397|49.0|1|179.0
73.0|HP:0001396|50.0|1|62.0
139.0|HP:0001396|52.0|1|128.0
88.0|HP:0001406|52.0|1|64.0
107.0|HP:0001392|53.0|1|94.0
130.0|HP:0001396|53.0|1|119.0
186.0|HP:0012443|54.0|1|164.0
36.0|HP:0000252|55.0|1|24.0
26.0|HP:0009879|56.0|1|2.0
235.0|HP:0001392|56.0|1|222.0
302.0|HP:0001392|56.0|1|289.0
454.0|HP:0001399|56.0|1|441.0
87.0|HP:0032320|58.0|1|78.0
700.0|HP:0032320|65.0|1|692.0
106.0|HP:0007269|71.0|1|83.0
104.0|HP:0006517|89.0|1|84.0
103.0|HP:0001510|94.0|1|85.0
87.0|HP:0001406|116.0|1|63.0
185.0|HP:0001396|118.0|1|174.0
64.0|HP:0001399|142.0|1|51.0
102.0|HP:0001257|147.0|1|92.0
50.0|HP:0006808|147.0|1|24.0
170.0|HP:0002352|151.0|1|151.0
86.0|HP:0000253|154.0|1|62.0
141.0|HP:0001250|154.0|1|133.0
136.0|HP:0001392|170.0|1|123.0
63.0|HP:0006554|174.0|1|44.0
29.0|HP:0006554|179.0|1|10.0
191.0|HP:0001399|183.0|1|178.0
214.0|HP:0009830|183.0|1|193.0
234.0|HP:0001272|183.0|1|216.0
246.0|HP:0001251|183.0|1|240.0
