,HPO ID,Phenotype name,No. occurrences,Earliness (lower = earlier),Example sentence
1,HP:0001510,Growth delay,16,1,doi https www sciencedirect com science article pii s0002929716301987 via 3dihub br br br biallelic iars mutations in a child with intrauterine growth retardation neonatal cholestasis and mild developmental delay orenstein 2017 clinical genetics wiley online library br working off campus learn about our br by continuing to browse this site you agree to its use of cookies as described in our br access byutrecht university br access byutrecht university br h5 br search within br short report br full access br h1 biallelic mutations in a child with intrauterine growth retardation neonatal cholestasis and mild developmental delay br h1 br first published 28 november 2016 br citations br h5 br all contributors have read and approved the submission to the journal 
2,HP:0001396,Cholestasis,14,2,liver dysfunction and abnormal liver pathology was seen in two previously reported patients and only one presented with neonatal cholestasis 
3,HP:0012825,Mild,12,4,we expand the phenotype to include mild developmental delay skin and joint laxity and hypervitaminosis d 
4,HP:0001263,Global developmental delay,10,4,we expand the phenotype to include mild developmental delay skin and joint laxity and hypervitaminosis d 
5,HP:0001410,Decreased liver function,10,48,liver dysfunction and abnormal liver pathology was seen in two previously reported patients and only one presented with neonatal cholestasis 
6,HP:0001511,Intrauterine growth retardation,6,1,doi https www sciencedirect com science article pii s0002929716301987 via 3dihub br br br biallelic iars mutations in a child with intrauterine growth retardation neonatal cholestasis and mild developmental delay orenstein 2017 clinical genetics wiley online library br working off campus learn about our br by continuing to browse this site you agree to its use of cookies as described in our br access byutrecht university br access byutrecht university br h5 br search within br short report br full access br h1 biallelic mutations in a child with intrauterine growth retardation neonatal cholestasis and mild developmental delay br h1 br first published 28 november 2016 br citations br h5 br all contributors have read and approved the submission to the journal 
7,HP:0000974,Hyperextensible skin,6,28,he had joint hyperlaxity and his skin was hyperelastic doughy like and transparent fig 
8,HP:0001388,Joint laxity,6,133,we expand the phenotype to include mild developmental delay skin and joint laxity and hypervitaminosis d 
9,HP:0001392,Abnormality of the liver,4,93,liver dysfunction and abnormal liver pathology was seen in two previously reported patients and only one presented with neonatal cholestasis 
10,HP:0006580,Portal fibrosis,4,113,fibrosis with new vessel formation was seen in portal spaces 
11,HP:0000311,Round face,4,130,on examination he had abnormal fat distribution with a round face full cheeks and increased fat in the genitalia area 
12,HP:0001507,Growth abnormality,4,139,significant growth delay is a consistent finding in all the reported subjects as well as the potentially equivalent disorder seen in cattle 
13,HP:0001399,Hepatic failure,4,195,the subject reported here had a similar presentation with neonatal liver failure and cholestasis 
14,HP:0000006,Autosomal dominant inheritance,2,38,four human cytosolic arss have been implicated in autosomal dominant charcotmarietooth disease and mutations in mitochondrial arss cause a spectrum of mitochondrial disorders 
15,HP:0001427,Mitochondrial inheritance,2,40,four human cytosolic arss have been implicated in autosomal dominant charcotmarietooth disease and mutations in mitochondrial arss cause a spectrum of mitochondrial disorders 
16,HP:0003577,Congenital onset,2,45,these individuals had a distinct syndrome of prenatal onset growth retardation intellectual disability and liver dysfunction 
17,HP:0001249,Intellectual disability,2,46,these individuals had a distinct syndrome of prenatal onset growth retardation intellectual disability and liver dysfunction 
18,HP:0001562,Oligohydramnios,2,80,during the third trimester there was growth delay and oligohydramnios 
19,HP:0001518,Small for gestational age,2,88,he was admitted to the nicu for low birth weight and hypoglycemia 27mg dl that resolved with feeding 
20,HP:0004325,Decreased body weight,2,88,he was admitted to the nicu for low birth weight and hypoglycemia 27mg dl that resolved with feeding 
21,HP:0001943,Hypoglycemia,2,89,he was admitted to the nicu for low birth weight and hypoglycemia 27mg dl that resolved with feeding 
22,HP:0002904,Hyperbilirubinemia,2,90,during his admission he developed direct hyperbilirubinemia up to 7 5mg dl increased alkaline phosphatase 1450 u l and ggt 311 u l 
23,HP:0002908,Conjugated hyperbilirubinemia,2,90,during his admission he developed direct hyperbilirubinemia up to 7 5mg dl increased alkaline phosphatase 1450 u l and ggt 311 u l 
24,HP:0003155,Elevated alkaline phosphatase,2,91,during his admission he developed direct hyperbilirubinemia up to 7 5mg dl increased alkaline phosphatase 1450 u l and ggt 311 u l 
25,HP:0002910,Elevated hepatic transaminase,2,93,he had abnormal liver enzymes got 200 u l gpt 108 u l hypoalbuminemia and hyperammonemia 139 
26,HP:0003073,Hypoalbuminemia,2,95,he had abnormal liver enzymes got 200 u l gpt 108 u l hypoalbuminemia and hyperammonemia 139 
27,HP:0001987,Hyperammonemia,2,96,he had abnormal liver enzymes got 200 u l gpt 108 u l hypoalbuminemia and hyperammonemia 139 
28,HP:0000081,Duplicated collecting system,2,106,there was a duplicated collecting system on the left and mild bilateral hydronephrosis 
29,HP:0000126,Hydronephrosis,2,107,there was a duplicated collecting system on the left and mild bilateral hydronephrosis 
30,HP:0000952,Jaundice,2,117,gradually the jaundice resolved and the liver enzymes normalized 
31,HP:0000010,Recurrent urinary tract infections,2,125,during his nicu admission there was one episode of urinary tract infection with 
32,HP:0000271,Abnormality of the face,2,130,on examination he had abnormal fat distribution with a round face full cheeks and increased fat in the genitalia area 
33,HP:0000293,Full cheeks,2,131,on examination he had abnormal fat distribution with a round face full cheeks and increased fat in the genitalia area 
34,HP:0005248,Intrahepatic biliary atresia,2,206,there was bile ducts paucity which is seen in very few conditions such as congenital sclerosing cholangitis alagille syndrome mim 118450 drug induced liver injury and the vanishing bile duct syndrome 
35,HP:0030151,Cholangitis,2,206,there was bile ducts paucity which is seen in very few conditions such as congenital sclerosing cholangitis alagille syndrome mim 118450 drug induced liver injury and the vanishing bile duct syndrome 
