end|hp_id|index|line|names|score|start
167.0|HP:0001511|0.0|DOI: https://www.sciencedirect.com/science/article/pii/S0002929716301987?via%3Dihub<br><br><br>Biallelic IARS mutations in a child with intrauterine growth retardation, neonatal cholestasis, and mild developmental delay - Orenstein - 2017 - Clinical Genetics - Wiley Online Library<br>Working off-campus?|['Intrauterine growth retardation', 'In utero growth retardation', 'Intrauterine growth failure', 'Intrauterine growth restriction', 'Intrauterine growth retardation, IUGR', 'Intrauterine retardation', 'IUGR', 'Prenatal growth deficiency', 'Prenatal growth failure', 'Prenatal growth retardation', 'Prenatal onset growth retardation', 'Prenatal-onset growth retardation', 'Small for gestational age infant']|0.9979231|136.0
189.0|HP:0001396|0.0|DOI: https://www.sciencedirect.com/science/article/pii/S0002929716301987?via%3Dihub<br><br><br>Biallelic IARS mutations in a child with intrauterine growth retardation, neonatal cholestasis, and mild developmental delay - Orenstein - 2017 - Clinical Genetics - Wiley Online Library<br>Working off-campus?|['Cholestasis', 'Slowed or blocked flow of bile from liver']|0.98234975|178.0
219.0|HP:0011342|0.0|DOI: https://www.sciencedirect.com/science/article/pii/S0002929716301987?via%3Dihub<br><br><br>Biallelic IARS mutations in a child with intrauterine growth retardation, neonatal cholestasis, and mild developmental delay - Orenstein - 2017 - Clinical Genetics - Wiley Online Library<br>Working off-campus?|['Mild global developmental delay', 'Global developmental delay, mild', 'Psychomotor retardation, mild']|0.979057|195.0
301.0|HP:0001511|1.0|Learn about our<br>By continuing to browse this site, you agree to its use of cookies as described in our .<br>Access ByUtrecht University<br>Access byUtrecht University<br><h5><br>Search within<br>SHORT REPORT<br>Full Access<br><h1>Biallelic  mutations in a child with intrauterine growth retardation, neonatal cholestasis, and mild developmental delay<br></h1><br>First published: 28 November 2016<br>Citations:<br><h5><br>All contributors have read and approved the submission to the journal.|['Intrauterine growth retardation', 'In utero growth retardation', 'Intrauterine growth failure', 'Intrauterine growth restriction', 'Intrauterine growth retardation, IUGR', 'Intrauterine retardation', 'IUGR', 'Prenatal growth deficiency', 'Prenatal growth failure', 'Prenatal growth retardation', 'Prenatal onset growth retardation', 'Prenatal-onset growth retardation', 'Small for gestational age infant']|0.9979231|270.0
323.0|HP:0001396|1.0|Learn about our<br>By continuing to browse this site, you agree to its use of cookies as described in our .<br>Access ByUtrecht University<br>Access byUtrecht University<br><h5><br>Search within<br>SHORT REPORT<br>Full Access<br><h1>Biallelic  mutations in a child with intrauterine growth retardation, neonatal cholestasis, and mild developmental delay<br></h1><br>First published: 28 November 2016<br>Citations:<br><h5><br>All contributors have read and approved the submission to the journal.|['Cholestasis', 'Slowed or blocked flow of bile from liver']|0.98234975|312.0
353.0|HP:0011342|1.0|Learn about our<br>By continuing to browse this site, you agree to its use of cookies as described in our .<br>Access ByUtrecht University<br>Access byUtrecht University<br><h5><br>Search within<br>SHORT REPORT<br>Full Access<br><h1>Biallelic  mutations in a child with intrauterine growth retardation, neonatal cholestasis, and mild developmental delay<br></h1><br>First published: 28 November 2016<br>Citations:<br><h5><br>All contributors have read and approved the submission to the journal.|['Mild global developmental delay', 'Global developmental delay, mild', 'Psychomotor retardation, mild']|0.979057|329.0
198.0|HP:0001510|4.0|<br>Copy URL<br>Share a link<br>Share on<br><h2>Abstract</h2><br><br>Recently, biallelic mutations in cytosolic isoleucyltRNA synthetase () have been described in three individuals with growth delay, hepatic dysfunction, and neurodevelopmental disabilities.|['Growth delay', 'Delayed growth', 'Growth deficiency', 'Growth delay', 'Growth failure', 'Growth retardation', 'Poor growth', 'Retarded growth', 'Very poor growth']|0.99463415|186.0
219.0|HP:0001410|4.0|<br>Copy URL<br>Share a link<br>Share on<br><h2>Abstract</h2><br><br>Recently, biallelic mutations in cytosolic isoleucyltRNA synthetase () have been described in three individuals with growth delay, hepatic dysfunction, and neurodevelopmental disabilities.|['Decreased liver function', 'Decreased liver function', 'Liver dysfunction', 'Liver dysfunction, mild']|0.96137255|200.0
113.0|HP:0001392|6.0|Our findings support the association between this disorder and neonatal cholestasis with distinct liver pathology.|['Abnormality of the liver', 'Abnormal liver', 'Abnormality of the liver', 'Liver abnormality', 'Liver disease']|0.8875845|98.0
83.0|HP:0001396|6.0|Our findings support the association between this disorder and neonatal cholestasis with distinct liver pathology.|['Cholestasis', 'Slowed or blocked flow of bile from liver']|0.98234975|72.0
136.0|HP:0011342|7.0|Furthermore, we provide functional data on two novel missense substitutions and expand the phenotype to include mild developmental delay, skin hyperelasticity, and hypervitaminosis D.<br>AminoacyltRNA synthetases (ARSs) are ubiquitously expressed, highly conserved enzymes involved in attaching the appropriate amino acid to tRNA to enable protein synthesis .|['Mild global developmental delay', 'Global developmental delay, mild', 'Psychomotor retardation, mild']|0.979057|112.0
158.0|HP:0000974|7.0|Furthermore, we provide functional data on two novel missense substitutions and expand the phenotype to include mild developmental delay, skin hyperelasticity, and hypervitaminosis D.<br>AminoacyltRNA synthetases (ARSs) are ubiquitously expressed, highly conserved enzymes involved in attaching the appropriate amino acid to tRNA to enable protein synthesis .|['Hyperextensible skin', 'Hyperelastic skin', 'Skin hyperelasticity', 'Skin hyperextensibility', 'Stretchable skin']|0.9919087|138.0
78.0|HP:0001511|14.0|These individuals had a distinct syndrome of prenatal onset growth retardation, intellectual disability, and liver dysfunction .|['Intrauterine growth retardation', 'In utero growth retardation', 'Intrauterine growth failure', 'Intrauterine growth restriction', 'Intrauterine growth retardation, IUGR', 'Intrauterine retardation', 'IUGR', 'Prenatal growth deficiency', 'Prenatal growth failure', 'Prenatal growth retardation', 'Prenatal onset growth retardation', 'Prenatal-onset growth retardation', 'Small for gestational age infant']|0.9968729|45.0
103.0|HP:0001249|14.0|These individuals had a distinct syndrome of prenatal onset growth retardation, intellectual disability, and liver dysfunction .|['Intellectual disability', 'Dull intelligence', 'Intellectual disability', 'Low intelligence', 'Mental deficiency', 'Mental retardation', 'Mental retardation, nonspecific', 'Mental-retardation', 'Nonprogressive intellectual disability', 'Nonprogressive mental retardation', 'Poor school performance']|0.9938634|80.0
126.0|HP:0001410|14.0|These individuals had a distinct syndrome of prenatal onset growth retardation, intellectual disability, and liver dysfunction .|['Decreased liver function', 'Decreased liver function', 'Liver dysfunction', 'Liver dysfunction, mild']|0.99116755|109.0
62.0|HP:0001396|16.0|This report confirms the association with neonatal cholestasis, expands the related phenotype and provides functional data on two pathogenic variants detected in a family of Arab descent.<br><h2> Materials and methods</h2><br><br><h3> Genetic testing</h3><br>The family consented for whole exome sequencing, biological assays and publication of photos according to our IRB approved protocol (: NCT01294345).|['Cholestasis', 'Slowed or blocked flow of bile from liver']|0.98234975|51.0
76.0|HP:0001510|25.0|Anatomic ultrasound at 18 weeks was normal, but at 24 weeks decreased growth was noted.|['Growth delay', 'Delayed growth', 'Growth deficiency', 'Growth delay', 'Growth failure', 'Growth retardation', 'Poor growth', 'Retarded growth', 'Very poor growth']|0.97247076|60.0
69.0|HP:0001511|26.0|During the third trimester there was growth delay and oligohydramnios.|['Intrauterine growth retardation', 'In utero growth retardation', 'Intrauterine growth failure', 'Intrauterine growth restriction', 'Intrauterine growth retardation, IUGR', 'Intrauterine retardation', 'IUGR', 'Prenatal growth deficiency', 'Prenatal growth failure', 'Prenatal growth retardation', 'Prenatal onset growth retardation', 'Prenatal-onset growth retardation', 'Small for gestational age infant']|0.83401394|37.0
49.0|HP:0030369|27.0|He was delivered via spontaneous vaginal delivery at 37 weeks gestation.|['Induced vaginal delivery']|0.88967526|21.0
16.0|HP:0030917|29.0|The Apgar scores were 9 and 10 at 1 and 5 min, respectively.|['Low APGAR score']|0.8332055|4.0
48.0|HP:0001518|30.0|He was admitted to the NICU for low birth weight and hypoglycemia (27mg/dl) that resolved with feeding.|['Small for gestational age', 'Birth weight less than 10th percentile', 'Low birth weight', 'Small for gestational age']|0.99037397|32.0
65.0|HP:0001943|30.0|He was admitted to the NICU for low birth weight and hypoglycemia (27mg/dl) that resolved with feeding.|['Hypoglycemia', 'Hypoglycaemia', 'Low blood sugar']|0.9824594|53.0
59.0|HP:0002908|31.0|During his admission he developed direct hyperbilirubinemia up to 7.5mg/dl, increased alkaline phosphatase 1450 (U/l) and GGT 311 (U/l).|['Conjugated hyperbilirubinemia', 'Direct hyperbilirubinemia']|0.9844651|34.0
106.0|HP:0003155|31.0|During his admission he developed direct hyperbilirubinemia up to 7.5mg/dl, increased alkaline phosphatase 1450 (U/l) and GGT 311 (U/l).|['Elevated alkaline phosphatase', 'Elevated alkaline phosphatase', 'Elevated ALP', 'Greatly elevated alkaline phosphatase', 'High serum alkaline phosphatase', 'Hyperphosphatasemia', 'Hyperphosphatasia', 'Increased alkaline phosphatase', 'Increased serum alkaline phosphatase']|0.99507713|76.0
21.0|HP:0001392|32.0|He had abnormal liver enzymes GOT 200 (U/l), GPT 108 (U/l), hypoalbuminemia and hyperammonemia (139).|['Abnormality of the liver', 'Abnormal liver', 'Abnormality of the liver', 'Liver abnormality', 'Liver disease']|0.97236013|7.0
75.0|HP:0003073|32.0|He had abnormal liver enzymes GOT 200 (U/l), GPT 108 (U/l), hypoalbuminemia and hyperammonemia (139).|['Hypoalbuminemia', 'Hypoalbuminaemia', 'Low albumin', 'Low blood albumin']|0.99461|60.0
94.0|HP:0001987|32.0|He had abnormal liver enzymes GOT 200 (U/l), GPT 108 (U/l), hypoalbuminemia and hyperammonemia (139).|['Hyperammonemia', 'High blood ammonia levels']|0.98517597|80.0
92.0|HP:0008151|33.0|He was treated with vitamin K and fresh frozen plasma because his blood did not clot and INR was not measurable, with improvement in the INR (1.5) that later on normalized.|['Prolonged prothrombin time', 'Increased INR', 'increased international normalised ratio', 'Increased international normalized ratio', 'Low factor II activity', 'Prolonged PT', 'Reduced factor II activity', 'Reduced prothrombin activity']|0.90531605|89.0
140.0|HP:0008151|33.0|He was treated with vitamin K and fresh frozen plasma because his blood did not clot and INR was not measurable, with improvement in the INR (1.5) that later on normalized.|['Prolonged prothrombin time', 'Increased INR', 'increased international normalised ratio', 'Increased international normalized ratio', 'Low factor II activity', 'Prolonged PT', 'Reduced factor II activity', 'Reduced prothrombin activity']|0.90531605|137.0
30.0|HP:0003116|35.0|He had a normal echocardiogram.|['Abnormal echocardiogram', 'Abnormal echocardiogram', 'Abnormal echocardiography']|0.96809685|16.0
25.0|HP:0001392|36.0|On abdominal US the liver was normal in size and texture.|['Abnormality of the liver', 'Abnormal liver', 'Abnormality of the liver', 'Liver abnormality', 'Liver disease']|0.8399474|20.0
40.0|HP:0000081|37.0|There was a duplicated collecting system on the left and mild bilateral hydronephrosis.|['Duplicated collecting system', 'Double collecting system', 'Double urinary collecting systems on intravenous pyelography', 'Duplex collecting system', 'Duplicated renal collecting system']|0.99672997|12.0
86.0|HP:0000126|37.0|There was a duplicated collecting system on the left and mild bilateral hydronephrosis.|['Hydronephrosis']|0.9902045|72.0
33.0|HP:0001392|39.0|A core needle biopsy of the liver was performed at the age of 1 month (Fig.|['Abnormality of the liver', 'Abnormal liver', 'Abnormality of the liver', 'Liver abnormality', 'Liver disease']|0.8399474|28.0
71.0|HP:0031137|41.0|The lobular architecture was preserved, with bile stasis in hepatocytes.|['Storage in hepatocytes']|0.8554918|57.0
27.0|HP:0001408|44.0|Bile ductular proliferation was seen and demonstrated by immunostain for cytokeratin (CK).|['Bile duct proliferation', 'Proliferation of bile canaliculi']|0.93137693|0.0
