0|HP:0000118|Phenotypic abnormality|Unnamed: 3
1|HP:0000119|Abnormality of the genitourinary system|2211.0
2|HP:0000079|Abnormality of the urinary system|1650.0
3|HP:0010935|Abnormality of the upper urinary tract|1163.0
4|HP:0000077|Abnormality of the kidney|1137.0
5|HP:0012210|Abnormal renal morphology|863.0
6|HP:0004742|Abnormality of the renal collecting system|21.0
7|HP:0000081|Duplicated collecting system|14.0
6|HP:0010944|Abnormality of the renal pelvis|181.0
7|HP:0010946|Dilatation of the renal pelvis|178.0
8|HP:0000126|Hydronephrosis|178.0
1|HP:0000152|Abnormality of head or neck|2727.0
2|HP:0000234|Abnormality of the head|2705.0
3|HP:0000271|Abnormality of the face|2460.0
4|HP:0000309|Abnormality of the midface|490.0
5|HP:0004426|Abnormality of the cheek|192.0
6|HP:0000293|Full cheeks|110.0
4|HP:0001999|Abnormal facial shape|904.0
5|HP:0000311|Round face|91.0
3|HP:0000929|Abnormality of the skull|1887.0
4|HP:0000240|Abnormality of skull size|1267.0
5|HP:0040195|Decreased head circumference|1026.0
6|HP:0000252|Microcephaly|1014.0
1|HP:0000707|Abnormality of the nervous system|3312.0
2|HP:0012638|Abnormality of nervous system physiology|3090.0
3|HP:0012759|Neurodevelopmental abnormality|2305.0
4|HP:0012758|Neurodevelopmental delay|1826.0
5|HP:0001263|Global developmental delay|1508.0
6|HP:0011342|Mild global developmental delay|29.0
2|HP:0012639|Abnormality of nervous system morphology|2531.0
3|HP:0002011|Morphological abnormality of the central nervous system|2334.0
4|HP:0002977|Aplasia/Hypoplasia involving the central nervous system|1446.0
5|HP:0007364|Aplasia/Hypoplasia of the cerebrum|1228.0
6|HP:0000252|Microcephaly|1014.0
4|HP:0012443|Abnormality of brain morphology|2133.0
5|HP:0100547|Abnormality of forebrain morphology|1617.0
6|HP:0002060|Abnormality of the cerebrum|1590.0
7|HP:0007364|Aplasia/Hypoplasia of the cerebrum|1228.0
8|HP:0000252|Microcephaly|1014.0
1|HP:0000818|Abnormality of the endocrine system|1146.0
2|HP:0031072|Abnormal endocrine physiology|8.0
