end|hp_id|index|line|names|score|start
229.0|HP:0001249|0.0|DOI: https://www.sciencedirect.com/science/article/pii/S0002929716301987?via%3Dihub<br><br><br>Mutations of the aminoacyltRNAsynthetases SARS and WARS2 are implicated in the etiology of autosomal recessive intellectual disability - Musante - 2017 - Human Mutation - Wiley Online Library<br>Working off-campus?|['Intellectual disability', 'Dull intelligence', 'Intellectual disability', 'Low intelligence', 'Mental deficiency', 'Mental retardation', 'Mental retardation, nonspecific', 'Mental-retardation', 'Nonprogressive intellectual disability', 'Nonprogressive mental retardation', 'Poor school performance']|0.9938634|206.0
371.0|HP:0001249|1.0|Learn about our<br>By continuing to browse this site, you agree to its use of cookies as described in our .<br>Access ByUtrecht University<br>Access byUtrecht University<br><h5><br>Search within<br>RESEARCH ARTICLE<br>Full Access<br><h1>Mutations of the aminoacyltRNAsynthetases SARS and WARS2 are implicated in the etiology of autosomal recessive intellectual disability</h1><br>First published: 25 February 2017<br>Citations:<br><h5></h5><br><h5></h5><br><h5></h5><br><h5></h5><br><h5><br><br>Contract Grant Sponsors: Iranian National Science Foundation; Max Planck Innovation Fund, GENCODYS.<br><h5><br><br>Communicated by Christine Van Broeckhoven<br>Give access<br><h5>Share full-text access<br>Please review our  and check box below to share full-text version of article.|['Intellectual disability', 'Dull intelligence', 'Intellectual disability', 'Low intelligence', 'Mental deficiency', 'Mental retardation', 'Mental retardation, nonspecific', 'Mental-retardation', 'Nonprogressive intellectual disability', 'Nonprogressive mental retardation', 'Poor school performance']|0.9938634|348.0
92.0|HP:0001249|3.0|<br>Copy URL<br>Share a link<br>Share on<br><h2>Abstract</h2><br><br>Intellectual disability (ID) is the hallmark of an extremely heterogeneous group of disorders that comprises a wide variety of syndromic and nonsyndromic phenotypes.|['Intellectual disability', 'Dull intelligence', 'Intellectual disability', 'Low intelligence', 'Mental deficiency', 'Mental retardation', 'Mental retardation, nonspecific', 'Mental-retardation', 'Nonprogressive intellectual disability', 'Nonprogressive mental retardation', 'Poor school performance']|0.9938634|69.0
147.0|HP:0100543|11.0|We therefore suggest that the functional integrity of tRNAs in general is an important factor in the development and maintenance of human cognitive functions.<br><h2>1 INTRODUCTION</h2><br>With a prevalence between 1% and 3%, intellectual disability (ID) is among the most important problems in healthcare.|['Cognitive impairment', 'Abnormality of cognition', 'Cognitive abnormality', 'Cognitive defects', 'Cognitive deficits', 'Cognitive impairment', 'Intellectual impairment', 'Mental impairment']|0.95951575|138.0
249.0|HP:0001249|11.0|We therefore suggest that the functional integrity of tRNAs in general is an important factor in the development and maintenance of human cognitive functions.<br><h2>1 INTRODUCTION</h2><br>With a prevalence between 1% and 3%, intellectual disability (ID) is among the most important problems in healthcare.|['Intellectual disability', 'Dull intelligence', 'Intellectual disability', 'Low intelligence', 'Mental deficiency', 'Mental retardation', 'Mental retardation, nonspecific', 'Mental-retardation', 'Nonprogressive intellectual disability', 'Nonprogressive mental retardation', 'Poor school performance']|0.9938634|226.0
110.0|HP:0001249|12.0|Particularly, hereditary autosomalrecessive forms of the disorder (autosomal recessive intellectual disability [ARID]) have a very heterogeneous molecular basis, and genes with an increased number of diseasecausing mutations are not common (for review see, e.g., Khan etal., ; Musante &amp; Ropers, ).|['Intellectual disability', 'Dull intelligence', 'Intellectual disability', 'Low intelligence', 'Mental deficiency', 'Mental retardation', 'Mental retardation, nonspecific', 'Mental-retardation', 'Nonprogressive intellectual disability', 'Nonprogressive mental retardation', 'Poor school performance']|0.9938634|87.0
225.0|HP:0003477|16.0|Mutations in at least five mitochondrial ARSs have already been associated with brainspecific phenotypes, and at least four genes encoding cytoplasmic ARS have been implicated in inherited peripheral neuropathy with an axonal pathology (for review see, e.g., Oprescu, Griffin, Beg, &amp; Antonellis, ; Wallen &amp; Antonellis, ; Yao &amp; Fox, ).<br>Here, we report on two Iranian families affected by ARID with similar accompanying features (Table ).|['Peripheral axonal neuropathy', 'Axonal neuropathy', 'Axonal peripheral neuropathy']|0.9488188|189.0
239.0|HP:0002167|18.0|In the first family, homozygosity mapping in combination with subsequent mutation screening revealed a homozygous missense mutation in the  () gene (MIM# 607529), which cosegregates with moderate ID, microcephaly, ataxia, speech impairment, and aggressive behavior.|['Neurological speech impairment', 'Speech disorder', 'Speech impairment', 'Speech impediment']|0.96763647|222.0
264.0|HP:0000718|18.0|In the first family, homozygosity mapping in combination with subsequent mutation screening revealed a homozygous missense mutation in the  () gene (MIM# 607529), which cosegregates with moderate ID, microcephaly, ataxia, speech impairment, and aggressive behavior.|['Aggressive behavior', 'Aggression', 'Aggressive behavior', 'Aggressive behaviour', 'Aggressiveness', 'physical aggression']|0.99652386|245.0
212.0|HP:0000252|18.0|In the first family, homozygosity mapping in combination with subsequent mutation screening revealed a homozygous missense mutation in the  () gene (MIM# 607529), which cosegregates with moderate ID, microcephaly, ataxia, speech impairment, and aggressive behavior.|['Microcephaly', 'Abnormally small cranium', 'Abnormally small head', 'Abnormally small skull', 'Decreased circumference of cranium', 'Decreased size of cranium', 'Decreased size of head', 'Decreased size of skull', 'Reduced head circumference', 'small calvarium', 'small cranium', 'Small head', 'Small head circumference', 'Small skull']|0.9436223|200.0
