,HPO ID,Phenotype name,No. occurrences,Earliness (lower = earlier),Example sentence
1,HP:0001427,Mitochondrial inheritance,52,28,furthermore its accumulation is dependent upon mitochondrial membrane potential chazotte 
2,HP:0001251,Ataxia,14,91,in addition the patients presented with microcephaly ataxia unbalanced gait starting at the age of 710 years and muscular weakness since the age of 610 
3,HP:0000750,Delayed speech and language development,10,92,moreover the missense change leads to reduced enzymatic activity br in the second family we found compound dnaalterations affecting the mitochondrial gene mim 604733 by whole genome sequencing and could show that both cosegregate with moderate id ataxia speech impairment microcephaly and aggressive behavior 
4,HP:0001344,Absent speech,10,92,moreover the missense change leads to reduced enzymatic activity br in the second family we found compound dnaalterations affecting the mitochondrial gene mim 604733 by whole genome sequencing and could show that both cosegregate with moderate id ataxia speech impairment microcephaly and aggressive behavior 
5,HP:0002167,Neurological speech impairment,10,92,moreover the missense change leads to reduced enzymatic activity br in the second family we found compound dnaalterations affecting the mitochondrial gene mim 604733 by whole genome sequencing and could show that both cosegregate with moderate id ataxia speech impairment microcephaly and aggressive behavior 
6,HP:0001324,Muscle weakness,10,646,in addition the patients presented with microcephaly ataxia unbalanced gait starting at the age of 710 years and muscular weakness since the age of 610 
7,HP:0001249,Intellectual disability,8,2,doi https www sciencedirect com science article pii s0002929716301987 via 3dihub br br br mutations of the aminoacyltrnasynthetases sars and wars2 are implicated in the etiology of autosomal recessive intellectual disability musante 2017 human mutation wiley online library br working off campus learn about our br by continuing to browse this site you agree to its use of cookies as described in our br access byutrecht university br access byutrecht university br h5 br search within br research article br full access br h1 mutations of the aminoacyltrnasynthetases sars and wars2 are implicated in the etiology of autosomal recessive intellectual disability h1 br first published 25 february 2017 br citations br h5 h5 br h5 h5 br h5 h5 br h5 h5 br h5 br br contract grant sponsors iranian national science foundation 
8,HP:0000718,Aggressive behavior,8,94,testing of cognitive function using the wechsler adult intelligence scale waisiv showed an intelligence quotient iq 4045 in the range of moderate id speech impairment slow and slurred speech and aggressive behavior 
9,HP:0000252,Microcephaly,6,90,in addition the patients presented with microcephaly ataxia unbalanced gait starting at the age of 710 years and muscular weakness since the age of 610 
10,HP:0011451,Congenital microcephaly,6,90,in addition the patients presented with microcephaly ataxia unbalanced gait starting at the age of 710 years and muscular weakness since the age of 610 
11,HP:0001250,Seizure,6,647,all patients developed tonicclonic seizures during infancy which are well controlled by sodium valproate 
12,HP:0000007,Autosomal recessive inheritance,4,2,doi https www sciencedirect com science article pii s0002929716301987 via 3dihub br br br mutations of the aminoacyltrnasynthetases sars and wars2 are implicated in the etiology of autosomal recessive intellectual disability musante 2017 human mutation wiley online library br working off campus learn about our br by continuing to browse this site you agree to its use of cookies as described in our br access byutrecht university br access byutrecht university br h5 br search within br research article br full access br h1 mutations of the aminoacyltrnasynthetases sars and wars2 are implicated in the etiology of autosomal recessive intellectual disability h1 br first published 25 february 2017 br citations br h5 h5 br h5 h5 br h5 h5 br h5 h5 br h5 br br contract grant sponsors iranian national science foundation 
13,HP:0031987,Diminished ability to concentrate,4,24,step 8 and 11 pellets contained nuclei membranes and mitochondria respectively were dissolved in 200l of lysis buffer see above and passed through qiashredder qiagen venlo netherlands to reduce viscosity br br protein concentration was measured by nanodrop nd1000 
