end|hp_id|index|names|score|start
1063.0|HP:0002037|0.0|['Inflammation of the large intestine', 'Inflammation of the large intestine', 'Inflammatory bowel disease']|0.9901862|1037.0
1884.0|HP:0012393|0.0|['Allergy', 'Allergy']|0.9825028|1877.0
125.0|HP:0002037|0.0|['Inflammation of the large intestine', 'Inflammation of the large intestine', 'Inflammatory bowel disease']|0.9901862|99.0
151.0|HP:0012393|6.0|['Allergy', 'Allergy']|0.9825028|144.0
60.0|HP:0012115|9.0|['Hepatitis', 'Liver inflammation']|0.9798366|51.0
115.0|HP:0002037|9.0|['Inflammation of the large intestine', 'Inflammation of the large intestine', 'Inflammatory bowel disease']|0.9901862|89.0
90.0|HP:0001399|10.0|['Hepatic failure', 'Liver failure']|0.9852403|77.0
143.0|HP:0001396|10.0|['Cholestasis', 'Slowed or blocked flow of bile from liver']|0.98234975|132.0
138.0|HP:0025085|13.0|['Bloody diarrhea', 'Blood in stool', 'Bloody bowel movement', 'Bloody diarrhea', 'Bloody diarrhoea', 'Bloody stool']|0.9595801|132.0
77.0|HP:0002037|16.0|['Inflammation of the large intestine', 'Inflammation of the large intestine', 'Inflammatory bowel disease']|0.9901862|51.0
255.0|HP:0012115|18.0|['Hepatitis', 'Liver inflammation']|0.9798366|246.0
120.0|HP:0001941|19.0|['Acidosis']|0.96158457|112.0
111.0|HP:0003128|19.0|['Lactic acidosis', 'Hyperlacticacidemia', 'Increased lactate in body', 'Lactic acidemia', 'Lacticacidemia', 'Lacticacidosis']|0.986802|105.0
136.0|HP:0001298|19.0|['Encephalopathy']|0.9798358|122.0
186.0|HP:0001263|19.0|['Global developmental delay', 'Cognitive delay', 'Delayed cognitive development', 'Delayed development', 'Delayed developmental milestones', 'Delayed intellectual development', 'Delayed milestones', 'Delayed psychomotor development', 'Developmental delay', 'Developmental delay in early childhood', 'Developmental delay, global', 'Developmental retardation', 'Lack of psychomotor development', 'Mental and motor retardation', 'Motor and developmental delay', 'Psychomotor delay', 'Psychomotor development deficiency', 'Psychomotor development failure', 'Psychomotor developmental delay', 'Retarded development', 'Retarded mental development', 'Retarded psychomotor development']|0.99637204|167.0
155.0|HP:0001508|19.0|['Failure to thrive', 'Faltering weight', 'Poor weight gain', 'Postnatal failure to thrive', 'Undergrowth', 'Weight faltering']|0.95105726|146.0
52.0|HP:0001263|22.0|['Global developmental delay', 'Cognitive delay', 'Delayed cognitive development', 'Delayed development', 'Delayed developmental milestones', 'Delayed intellectual development', 'Delayed milestones', 'Delayed psychomotor development', 'Developmental delay', 'Developmental delay in early childhood', 'Developmental delay, global', 'Developmental retardation', 'Lack of psychomotor development', 'Mental and motor retardation', 'Motor and developmental delay', 'Psychomotor delay', 'Psychomotor development deficiency', 'Psychomotor development failure', 'Psychomotor developmental delay', 'Retarded development', 'Retarded mental development', 'Retarded psychomotor development']|0.99637204|33.0
80.0|HP:0000407|22.0|['Sensorineural hearing impairment', 'Hearing loss, sensorineural', 'Sensorineural deafness', 'Sensorineural hearing loss']|0.9849287|54.0
100.0|HP:0001252|22.0|['Muscular hypotonia', 'Low or weak muscle tone', 'Muscle hypotonia']|0.9229314|82.0
119.0|HP:0000819|22.0|['Diabetes mellitus']|0.9600735|102.0
140.0|HP:0001410|22.0|['Decreased liver function', 'Decreased liver function', 'Liver dysfunction', 'Liver dysfunction, mild']|0.96137255|121.0
155.0|HP:0001397|22.0|['Hepatic steatosis', 'Fatty infiltration of liver', 'Fatty liver', 'Liver steatosis', 'Steatosis']|0.99195975|146.0
325.0|HP:0001290|23.0|['Generalized hypotonia', 'Decreased muscle tone', 'Generalized muscular hypotonia', 'Hypotonia', 'Hypotonia, generalized', 'Low muscle tone']|0.9438168|316.0
350.0|HP:0001249|23.0|['Intellectual disability', 'Dull intelligence', 'Intellectual disability', 'Low intelligence', 'Mental deficiency', 'Mental retardation', 'Mental retardation, nonspecific', 'Mental-retardation', 'Nonprogressive intellectual disability', 'Nonprogressive mental retardation', 'Poor school performance']|0.9938634|327.0
