end|hp_id|index|score|start
125.0|HP:0002037|0.0|1|99.0
1055.0|HP:0002037|0.0|1|1029.0
1869.0|HP:0012393|0.0|1|1862.0
149.0|HP:0012393|6.0|1|142.0
60.0|HP:0012115|9.0|1|51.0
115.0|HP:0002037|9.0|1|89.0
90.0|HP:0001399|10.0|1|77.0
143.0|HP:0001396|10.0|1|132.0
77.0|HP:0002037|16.0|1|51.0
202.0|HP:0032322|17.0|1|195.0
255.0|HP:0012115|18.0|1|246.0
120.0|HP:0003128|19.0|1|105.0
136.0|HP:0001298|19.0|1|122.0
186.0|HP:0001263|19.0|1|160.0
155.0|HP:0001508|19.0|1|138.0
52.0|HP:0001263|22.0|1|33.0
80.0|HP:0000407|22.0|1|54.0
100.0|HP:0001252|22.0|1|82.0
119.0|HP:0000819|22.0|1|102.0
155.0|HP:0001397|22.0|1|146.0
121.0|HP:0000252|23.0|1|109.0
178.0|HP:0001396|23.0|1|167.0
153.0|HP:0001263|23.0|1|134.0
325.0|HP:0001290|23.0|1|316.0
350.0|HP:0001249|23.0|1|327.0
373.0|HP:0001510|23.0|1|355.0
126.0|HP:0002037|24.0|1|100.0
344.0|HP:0011968|24.0|1|332.0
357.0|HP:0001824|24.0|1|346.0
369.0|HP:0002329|24.0|1|359.0
399.0|HP:0001399|24.0|1|386.0
453.0|HP:0001396|24.0|1|442.0
12.0|HP:0002014|25.0|1|4.0
98.0|HP:0025085|25.0|1|85.0
14.0|HP:0001217|27.0|1|7.0
37.0|HP:0002240|27.0|1|25.0
151.0|HP:0001433|31.0|1|133.0
265.0|HP:0004324|31.0|1|254.0
216.0|HP:0025615|33.0|1|209.0
289.0|HP:0100279|33.0|1|271.0
103.0|HP:0032252|34.0|1|94.0
128.0|HP:0100280|34.0|1|115.0
88.0|HP:0032321|37.0|1|78.0
53.0|HP:0032321|37.0|1|43.0
93.0|HP:0002595|39.0|1|88.0
240.0|HP:0032322|46.0|1|233.0
310.0|HP:0012115|46.0|1|301.0
244.0|HP:0002027|47.0|1|230.0
287.0|HP:0012115|60.0|1|278.0
